重庆联通,#genre#
西藏卫视,http://14.108.209.204:8806/udp/235.254.198.46:1460
纪实高清,http://14.108.209.204:8806/udp/235.254.198.121:1760
CCTV5+高清,http://14.108.209.204:8806/udp/235.254.198.122:1764
IPTV3,http://14.108.209.204:8806/udp/235.254.198.13:1328
IPTV5,http://14.108.209.204:8806/udp/235.254.198.14:1332
IPTV6,http://14.108.209.204:8806/udp/235.254.198.15:1336
IPTV8,http://14.108.209.204:8806/udp/235.254.198.16:1340
CCTV11,http://14.108.209.204:8806/udp/235.254.198.7:1304
CGTN,http://14.108.209.204:8806/udp/235.254.198.127:1784
熊猫频道,http://14.108.209.204:8806/udp/235.254.198.133:1808
收视指南,http://14.108.209.204:8806/udp/235.254.198.112:1724
财富天下,http://14.108.209.204:8806/udp/235.254.198.108:1708
IPTV谍战剧场,http://14.108.209.204:8806/udp/235.254.198.117:1744
IPTV相声小品,http://14.108.209.204:8806/udp/235.254.198.118:1748
IPTV野外,http://14.108.209.204:8806/udp/235.254.198.119:1752
IPTV法治,http://14.108.209.204:8806/udp/235.254.198.120:1756
热播剧场,http://14.108.209.204:8806/udp/235.254.198.113:1728
经典电影,http://14.108.209.204:8806/udp/235.254.198.114:1732
城市剧场（测试）,http://14.108.209.204:8806/udp/235.254.198.74:1572
军旅剧场（测试）,http://14.108.209.204:8806/udp/235.254.198.75:1576
古装剧场（测试）,http://14.108.209.204:8806/udp/235.254.198.76:1580
音乐现场（测试）,http://14.108.209.204:8806/udp/235.254.198.77:1584
地理（测试）,http://14.108.209.204:8806/udp/235.254.198.78:1588
美妆（测试）,http://14.108.209.204:8806/udp/235.254.198.79:1592
美人（测试）,http://14.108.209.204:8806/udp/235.254.198.80:1596
精选（测试）,http://14.108.209.204:8806/udp/235.254.198.81:1600
解密（测试）,http://14.108.209.204:8806/udp/235.254.198.82:1604
军事（测试）,http://14.108.209.204:8806/udp/235.254.198.83:1608
国学（测试）,http://14.108.209.204:8806/udp/235.254.198.84:1612
戏曲（测试）,http://14.108.209.204:8806/udp/235.254.198.85:1616
早教（测试）,http://14.108.209.204:8806/udp/235.254.198.86:1620
动画（测试）,http://14.108.209.204:8806/udp/235.254.198.87:1624
精彩导视,http://14.108.209.204:8806/udp/235.254.196.101:1162
好学生（测试）,http://14.108.209.204:8806/udp/235.254.198.88:1628
鉴赏（测试）,http://14.108.209.204:8806/udp/235.254.198.89:1632
墨宝（测试）,http://14.108.209.204:8806/udp/235.254.198.90:1636
光影（测试）,http://14.108.209.204:8806/udp/235.254.198.91:1640
台球（测试）,http://14.108.209.204:8806/udp/235.254.198.92:1644
爱生活（测试）,http://14.108.209.204:8806/udp/235.254.198.93:1648
武术（测试）,http://14.108.209.204:8806/udp/235.254.198.94:1652
高网（测试）,http://14.108.209.204:8806/udp/235.254.198.95:1656
足球（测试）,http://14.108.209.204:8806/udp/235.254.198.96:1660
武侠剧场（测试）,http://14.108.209.204:8806/udp/235.254.198.97:1664
喜剧影院（测试）,http://14.108.209.204:8806/udp/235.254.198.98:1668
动作影院（测试）,http://14.108.209.204:8806/udp/235.254.198.99:1672
家庭影院（测试）,http://14.108.209.204:8806/udp/235.254.198.100:1676
星影（测试）,http://14.108.209.204:8806/udp/235.254.198.101:1680
重庆卫视,http://14.108.209.204:8806/udp/235.254.198.34:1412
CQTV新闻,http://14.108.209.204:8806/udp/235.254.196.208:1104
CQTV影视,http://14.108.209.204:8806/udp/235.254.196.209:1108
CQTV都市,http://14.108.209.204:8806/udp/235.254.196.210:1112
CQTV时尚,http://14.108.209.204:8806/udp/235.254.196.211:1116
CQTV娱乐,http://14.108.209.204:8806/udp/235.254.196.212:1120
CQTV公共农村,http://14.108.209.204:8806/udp/235.254.196.213:1124
CCTV1,http://14.108.209.204:8806/udp/235.254.198.1:1280
CCTV2,http://14.108.209.204:8806/udp/235.254.198.2:1284
CCTV3,http://14.108.209.204:8806/udp/235.254.198.141:1842
CCTV4,http://14.108.209.204:8806/udp/235.254.198.3:1288
CCTV5,http://14.108.209.204:8806/udp/235.254.198.142:1846
CCTV6,http://14.108.209.204:8806/udp/235.254.198.143:1852
